City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
245,Yaan,7.3833,8.5667,70.83,96,94,4.05,NG,overcast clouds
246,Vaitape,-16.5167,-151.75,79.07,65,17,14.32,PF,few clouds
247,Liberal,37.0431,-100.921,75.34,69,75,26.46,US,broken clouds
248,Udachnyy,66.4167,112.4,74.71,58,100,17.83,RU,light rain
249,Port Lincoln,-34.7333,135.8667,53.73,64,100,9.28,AU,overcast clouds
250,Tupik,54.4253,119.9327,82.67,53,1,0.36,RU,clear sky
251,Qianan,44.9932,124.0581,88.48,47,2,15.21,CN,clear sky
252,Zheleznodorozhnyy,55.7503,38.0042,68.61,65,69,8.72,RU,broken clouds
253,Lamar,33.6668,-95.5836,78.78,88,0,4.61,US,clear sky
254,Vardo,70.3705,31.1107,69.78,68,7,14.97,NO,clear sky
255,Merauke,-8.4667,140.3333,82.04,81,100,10.76,ID,overcast clouds
256,Sao Raimundo Nonato,-9.0153,-42.6994,75.16,69,97,10.22,BR,overcast clouds
257,Alabaster,33.2443,-86.8164,78.71,88,14,1.01,US,few clouds
258,Capoterra,39.1763,8.9718,75.52,88,0,5.75,IT,clear sky
259,Zhigansk,66.7697,123.3711,73.2,44,86,15.43,RU,overcast clouds
260,Myronivka,49.6601,30.9823,62.11,50,64,2.28,UA,broken clouds
261,Leningradskiy,69.3833,178.4167,39.45,87,100,3.22,RU,overcast clouds
262,Yeppoon,-23.1333,150.7333,55.18,92,99,6.13,AU,overcast clouds
263,Buckeye,33.3703,-112.5838,102.18,18,6,6.62,US,clear sky
264,Tura,25.5198,90.2201,84.65,70,100,5.77,IN,overcast clouds
265,Houma,29.5958,-90.7195,80.01,91,40,0.0,US,scattered clouds
266,Luderitz,-26.6481,15.1594,56.01,84,0,7.47,NA,clear sky
267,Geraldton,-28.7667,114.6,64.81,36,0,20.71,AU,clear sky
268,Bageshwar,29.85,79.7667,82.94,68,59,1.81,IN,broken clouds
269,Mantua,45.1667,10.7833,78.04,81,0,3.0,IT,clear sky
270,Aripuana,-9.1667,-60.6333,74.66,70,52,1.63,BR,broken clouds
271,Namatanai,-3.6667,152.4333,84.83,69,24,9.24,PG,few clouds
272,Ratnagiri,16.9833,73.3,81.91,81,100,15.26,IN,overcast clouds
273,Saldanha,-33.0117,17.9442,56.5,78,96,10.02,ZA,light rain
274,Chiungutwa,-10.8833,38.9833,60.06,96,0,1.28,TZ,clear sky
275,Pevek,69.7008,170.3133,32.4,98,100,8.25,RU,overcast clouds
276,Praya,14.9215,-23.5087,72.12,79,37,13.96,CV,scattered clouds
277,Lexington,37.9887,-84.4777,74.55,94,84,4.76,US,broken clouds
278,Puerto Colombia,10.9878,-74.9547,81.7,85,27,19.04,CO,scattered clouds
279,Wana,32.2989,69.5725,83.17,59,22,5.55,PK,few clouds
280,Watsa,3.0372,29.5355,61.65,99,80,1.79,CD,broken clouds
281,Aklavik,68.2191,-135.0107,82.44,33,98,4.29,CA,overcast clouds
282,Moindou,-21.6924,165.677,79.36,67,97,5.79,NC,overcast clouds
283,Praia Da Vitoria,38.7333,-27.0667,65.75,83,83,9.08,PT,broken clouds
284,Bathsheba,13.2167,-59.5167,81.21,94,40,20.71,BB,scattered clouds
285,Taitung,22.7583,121.1444,89.87,70,75,5.75,TW,broken clouds
286,Kozhva,65.1073,57.0459,55.33,52,47,12.24,RU,scattered clouds
287,Rojhan,28.6868,69.9534,99.01,41,0,10.0,PK,clear sky
288,Kavieng,-2.5744,150.7967,84.61,73,24,13.24,PG,light rain
289,Tiksi,71.6872,128.8694,43.47,93,100,4.79,RU,light rain
290,Mombasa,-4.0547,39.6636,68.41,88,20,5.75,KE,few clouds
291,Elbistan,38.2059,37.1983,58.69,54,0,3.71,TR,clear sky
292,Tibiri,13.5627,7.0485,83.14,56,23,13.49,NE,few clouds
293,Maple Creek,49.9168,-109.4848,63.99,66,85,10.94,CA,overcast clouds
294,Karratha,-20.7377,116.8463,71.02,23,3,22.64,AU,clear sky
295,Praia,14.9215,-23.5087,72.12,79,37,13.96,CV,scattered clouds
296,Bontang,0.1333,117.5,85.32,70,84,4.25,ID,broken clouds
297,Namanga,-2.5433,36.7905,54.52,91,72,8.57,KE,broken clouds
298,Sao Joaquim,-28.2939,-49.9317,50.63,94,66,3.83,BR,broken clouds
299,Raudeberg,61.9875,5.1352,59.95,81,92,21.18,NO,light rain
300,Mackay,-21.15,149.2,64.69,89,100,11.1,AU,overcast clouds
301,Ko Samui,9.5357,99.9357,84.15,73,98,15.28,TH,overcast clouds
302,Toucheng,24.8592,121.8233,87.98,67,99,2.24,TW,overcast clouds
303,Santa Rosa,14.3122,121.1114,92.1,68,98,3.74,PH,overcast clouds
304,Swift Current,50.2834,-107.8014,60.39,79,23,10.27,CA,light rain
305,Tondano,1.3038,124.9112,80.69,82,100,2.46,ID,overcast clouds
306,Da Lat,11.9465,108.4419,73.74,65,100,6.93,VN,overcast clouds
307,Mezen,65.8522,44.24,57.76,54,4,3.8,RU,clear sky
308,Comodoro Rivadavia,-45.8667,-67.5,40.86,52,0,14.97,AR,clear sky
309,Putatan,5.9258,116.0609,89.62,66,20,3.44,MY,few clouds
310,Dubbo,-32.25,148.6167,53.73,94,75,2.3,AU,light rain
311,Axim,4.8699,-2.2405,76.21,82,70,7.63,GH,light rain
312,Richards Bay,-28.783,32.0377,61.27,45,0,9.19,ZA,clear sky
313,Takab,36.4009,47.1133,64.99,54,0,4.59,IR,clear sky
