City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Sakakah,29.9697,40.2064,85.57,18,0,4.32,SA,2022-06-28 23:48:27
202,Alibag,18.6411,72.8792,80.67,86,71,5.41,IN,2022-06-28 23:48:27
203,Vao,-22.6667,167.4833,70.29,65,68,16.35,NC,2022-06-28 23:48:28
204,Dahra,36.2546,0.8519,70.99,63,0,4.0,DZ,2022-06-28 23:48:28
205,Thunder Bay,48.4001,-89.3168,67.98,37,40,13.8,CA,2022-06-28 23:45:13
206,Saint George,37.1041,-113.5841,102.79,13,0,13.8,US,2022-06-28 23:48:29
207,Srednekolymsk,67.45,153.6833,47.07,82,100,5.57,RU,2022-06-28 23:48:30
208,Sao Filipe,14.8961,-24.4956,74.97,77,58,12.44,CV,2022-06-28 23:48:30
209,Broken Hill,-31.95,141.4333,51.33,42,100,6.67,AU,2022-06-28 23:48:31
210,Tanout,14.9709,8.8879,90.18,30,89,6.35,NE,2022-06-28 23:48:32
211,Dumbea,-22.15,166.45,73.98,99,85,6.02,NC,2022-06-28 23:48:32
212,Kyzyl-Suu,42.3414,78.0056,60.21,63,39,5.06,KG,2022-06-28 23:48:33
213,Pangnirtung,66.1451,-65.7125,47.41,59,100,2.35,CA,2022-06-28 23:48:33
214,Arenal,8.4593,-73.9433,75.9,95,46,2.46,CO,2022-06-28 23:48:34
215,Tenenkou,14.4572,-4.9169,89.73,36,33,6.58,ML,2022-06-28 23:48:34
216,Kununurra,-15.7667,128.7333,62.58,67,100,14.97,AU,2022-06-28 23:48:35
217,Dhidhdhoo,6.8833,73.1,82.06,79,41,14.36,MV,2022-06-28 23:48:35
218,Bengkulu,-3.8004,102.2655,74.59,91,100,3.29,ID,2022-06-28 23:48:36
219,Pochutla,15.7432,-96.4661,83.82,80,72,2.51,MX,2022-06-28 23:48:36
220,Benguela,-12.5763,13.4055,70.39,67,37,2.24,AO,2022-06-28 23:48:37
221,Ambovombe,-25.1667,46.0833,63.32,71,57,14.88,MG,2022-06-28 23:48:37
222,Sitka,57.0531,-135.33,66.09,63,20,14.97,US,2022-06-28 23:48:38
223,Regina,50.4501,-104.6178,73.38,40,75,11.5,CA,2022-06-28 23:46:12
224,Touros,-5.1989,-35.4608,75.02,90,5,10.49,BR,2022-06-28 23:48:38
225,Matiri,-10.75,34.9,55.11,77,92,2.98,TZ,2022-06-28 23:48:39
226,Undory,54.6085,48.3928,49.24,71,36,7.72,RU,2022-06-28 23:48:40
227,Dakoro,14.5106,6.765,91.71,30,55,11.39,NE,2022-06-28 23:48:40
228,Brockville,44.5834,-75.6826,71.89,68,23,8.99,CA,2022-06-28 23:46:38
229,Shenjiamen,29.9576,122.298,76.51,92,93,22.62,CN,2022-06-28 23:48:41
230,Rajpur,22.3,74.35,78.82,83,100,13.85,IN,2022-06-28 23:48:41
231,Coquimbo,-29.9533,-71.3436,55.13,82,0,4.61,CL,2022-06-28 23:48:42
232,Binzhou,37.3667,118.0167,79.74,65,11,9.42,CN,2022-06-28 23:48:43
233,Iqaluit,63.7506,-68.5145,51.53,53,100,8.05,CA,2022-06-28 23:49:43
234,Nikolskoye,59.7035,30.7861,62.49,68,5,5.14,RU,2022-06-28 23:49:44
235,Winnemucca,40.973,-117.7357,96.85,5,0,16.11,US,2022-06-28 23:49:44
236,Caraquet,47.7941,-64.9386,72.14,71,50,1.81,CA,2022-06-28 23:45:12
237,Sampit,-2.5333,112.95,75.87,94,75,2.15,ID,2022-06-28 23:49:45
238,Gumdag,39.2061,54.5906,73.08,79,0,10.54,TM,2022-06-28 23:49:45
239,Sarab,38.6066,44.9883,70.92,40,0,4.61,IR,2022-06-28 23:49:46
240,La Carolina,38.2756,-3.6153,66.92,28,0,1.14,ES,2022-06-28 23:49:46
241,Luderitz,-26.6481,15.1594,69.93,35,0,24.38,NA,2022-06-28 23:49:46
242,Botoroaga,44.1483,25.5447,67.71,66,33,3.8,RO,2022-06-28 23:49:47
243,Rocha,-34.4833,-54.3333,47.62,80,97,5.73,UY,2022-06-28 23:49:47
244,Necochea,-38.5473,-58.7368,50.43,62,36,9.4,AR,2022-06-28 23:49:48
245,Airai,-8.9266,125.4092,61.07,91,88,3.91,TL,2022-06-28 23:47:46
246,Mahibadhoo,3.7833,72.9667,82.4,77,60,9.13,MV,2022-06-28 23:48:27
247,Pierre,44.3683,-100.351,88.05,35,0,10.0,US,2022-06-28 23:45:46
248,Mar Del Plata,-38.0023,-57.5575,51.94,60,0,9.22,AR,2022-06-28 23:49:33
249,Zhigansk,66.7697,123.3711,48.7,50,2,12.24,RU,2022-06-28 23:49:50
250,Hamilton,39.1834,-84.5333,78.24,40,0,0.0,US,2022-06-28 23:44:51
251,Doha,25.2867,51.5333,91.38,48,0,6.91,QA,2022-06-28 23:49:50
252,Whitianga,-36.8333,175.7,56.25,88,100,9.6,NZ,2022-06-28 23:49:51
253,Bonfim,3.0833,-59.95,75.27,86,81,0.83,BR,2022-06-28 23:49:51
254,Oxford,51.7522,-1.256,59.76,75,0,11.5,GB,2022-06-28 23:45:47
255,Guatire,10.4762,-66.5427,72.03,97,82,2.17,VE,2022-06-28 23:49:52
256,Aasiaat,68.7098,-52.8699,41.31,70,54,14.38,GL,2022-06-28 23:49:53
257,Portland,45.5234,-122.6762,75.56,57,75,11.5,US,2022-06-28 23:49:53
258,Kaitangata,-46.2817,169.8464,45.63,71,98,9.42,NZ,2022-06-28 23:49:53
259,Kerman,30.2832,57.0788,71.46,20,0,4.61,IR,2022-06-28 23:49:54
260,Shizunai,42.3339,142.3669,64.15,99,100,15.68,JP,2022-06-28 23:49:54
261,Kandrian,-6.2167,149.55,84.0,69,91,5.79,PG,2022-06-28 23:49:55
262,Cayenne,4.9333,-52.3333,76.08,1,100,0.0,GF,2022-06-28 23:46:26
263,Manokwari,-0.8667,134.0833,81.75,69,75,5.12,ID,2022-06-28 23:49:55
264,Margate,51.3813,1.3862,59.9,83,90,1.99,GB,2022-06-28 23:48:59
265,Arlit,18.7369,7.3853,94.98,11,11,5.93,NE,2022-06-28 23:49:56
266,Victoria,22.2855,114.1577,86.97,86,99,4.0,HK,2022-06-28 23:45:30
267,Vostok,46.4856,135.8833,70.41,53,72,1.3,RU,2022-06-28 23:49:57
268,Jalu,29.0331,21.5482,82.17,35,0,11.32,LY,2022-06-28 23:49:57
269,Cravo Norte,6.3017,-70.2041,75.96,86,99,4.92,CO,2022-06-28 23:49:58
270,Joshimath,30.5667,79.5667,71.69,87,66,1.48,IN,2022-06-28 23:49:58
271,Alta Floresta,-9.8756,-56.0861,73.27,50,15,1.86,BR,2022-06-28 23:49:58
272,Isangel,-19.55,169.2667,78.91,94,75,3.44,VU,2022-06-28 23:49:59
273,Alberton,46.8168,-64.0654,68.13,83,86,4.81,CA,2022-06-28 23:49:59
274,Vikevag,59.0976,5.6969,56.41,78,72,5.44,NO,2022-06-28 23:50:00
275,Lebyazhye,55.2689,66.4947,42.4,91,99,9.51,RU,2022-06-28 23:50:00
276,Prince Albert,53.2001,-105.7677,67.95,40,20,10.36,CA,2022-06-28 23:50:01
277,Baoding,38.8511,115.4903,75.7,73,76,10.0,CN,2022-06-28 23:50:02
278,Naze,28.3667,129.4833,81.52,82,11,12.64,JP,2022-06-28 23:48:30
279,Marsh Harbour,26.5412,-77.0636,79.97,78,90,17.09,BS,2022-06-28 23:50:04
280,Inongo,-1.95,18.2667,68.65,84,97,3.74,CD,2022-06-28 23:51:05
281,Gravdal,68.1214,13.5031,57.76,88,41,11.88,NO,2022-06-28 23:51:06
282,Dingle,10.9995,122.6711,80.08,85,99,9.95,PH,2022-06-28 23:51:06
283,Paita,-5.0892,-81.1144,64.98,78,0,14.56,PE,2022-06-28 23:51:07
284,Parabel,58.6978,81.4825,55.38,85,100,8.37,RU,2022-06-28 23:51:08
285,Karpathos,35.507,27.2132,75.16,73,0,17.27,GR,2022-06-28 23:51:08
286,Krasnozerskoye,53.9828,79.2374,57.9,62,11,10.45,RU,2022-06-28 23:51:09
287,Thinadhoo,0.5333,72.9333,82.44,74,90,5.97,MV,2022-06-28 23:51:10
288,The Valley,18.217,-63.0578,82.54,74,40,16.11,AI,2022-06-28 23:50:09
289,Ierapetra,35.01,25.7353,79.14,54,0,15.01,GR,2022-06-28 23:51:11
290,Banjar,-8.19,114.9675,77.38,81,72,6.71,ID,2022-06-28 23:51:12
291,Carauari,-4.8828,-66.8958,79.02,75,100,0.63,BR,2022-06-28 23:51:13
292,Altar,30.7,-111.8167,85.95,51,37,30.58,MX,2022-06-28 23:51:15
293,Weligama,5.9667,80.4167,78.89,85,12,13.0,LK,2022-06-28 23:51:15
294,Mount Isa,-20.7333,139.5,62.37,31,100,9.22,AU,2022-06-28 23:51:16
295,Wanaka,-44.7,169.15,47.1,69,74,4.5,NZ,2022-06-28 23:51:17
