City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Turgenevo,RU,61.12,overcast clouds,54.8455,46.3297,"Gostinitsa ""Uyut"" Ip Nesytova"
159,Taozhuang,CN,91.0,broken clouds,34.85,117.3333,New Century Fengming Resort Zaozhuang
160,Zhuhai,CN,87.58,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
161,Klaksvik,FO,49.12,moderate rain,62.2266,-6.589,Airbnb rooms
162,Cherskiy,RU,40.28,light rain,68.75,161.3,Gostinitsa
163,Gravdal,NO,53.06,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
164,Flagstaff,US,73.31,broken clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
165,Takoradi,GH,74.59,few clouds,4.8845,-1.7554,Raybow International Hotel
166,Mgandu,TZ,50.81,clear sky,-5.95,34.1333,
167,Agadez,NE,84.61,clear sky,19.75,10.25,
168,Shelburne,CA,54.9,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
169,Cordoba,AR,42.76,clear sky,-31.4135,-64.1811,Hotel Sussex
170,Bethel,US,72.93,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
171,Lubango,AO,52.48,clear sky,-14.9172,13.4925,Hotel Serra da Chela
172,Kodiak,US,53.11,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
173,Lagoa,PT,64.8,broken clouds,39.05,-27.9833,Casa Das Faias
174,Yumen,CN,84.54,clear sky,40.2833,97.2,
175,Lebedinyy,RU,82.49,overcast clouds,58.5167,125.5167,
176,Ponta Do Sol,PT,70.43,scattered clouds,32.6667,-17.1,Hotel do Campo
177,Esperance,AU,59.95,clear sky,-33.8667,121.9,Hospitality Esperance
178,Nome,US,62.17,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
179,Hasaki,JP,97.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
180,Wasilla,US,77.67,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
181,Vila,PT,54.48,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
182,Vestmannaeyjar,IS,50.2,scattered clouds,63.4427,-20.2734,Glamping & Camping
183,Kato Soulion,GR,80.46,clear sky,38.1667,24.0,Sxinias Resort
184,Takanosu,JP,87.33,scattered clouds,40.2219,140.3694,Hotel New Matsuo
185,Sangar,RU,76.82,broken clouds,63.9242,127.4739,
186,Buluang,PH,84.81,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
187,Qaanaaq,GL,37.09,light rain,77.484,-69.3632,Qaanaaq Hotel
188,Saint-Augustin,CA,57.31,overcast clouds,51.226,-58.6502,
189,Podporozhye,RU,67.5,overcast clouds,60.9112,34.1706,U Maksimycha
190,Sajanan,TN,77.92,clear sky,37.0573,9.2426,Centre de culture du tabac sejenene
191,Topolobampo,MX,83.57,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
192,Ventspils,LV,57.13,clear sky,57.3894,21.5606,Jūras brīze
193,Oytal,KZ,86.85,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
194,Wuwei,CN,85.32,scattered clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
195,Zhangjiakou,CN,68.68,light rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
196,Maunabo,PR,76.84,overcast clouds,18.0072,-65.8993,Parador Maunacaribe
197,Saint-Francois,FR,55.42,clear sky,46.4154,3.9054,Manoir Du Bonheur
198,Satun,TH,89.6,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
199,Port Shepstone,ZA,62.73,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
200,Ulladulla,AU,58.1,light rain,-35.35,150.4667,Sandpiper Motel
201,Savonlinna,FI,71.65,clear sky,61.8699,28.88,Spahotel Casino
202,Misratah,LY,80.42,clear sky,32.3754,15.0925,Almasa Hotel
203,Boguchany,RU,65.75,overcast clouds,58.3814,97.4531,Uyut
204,Cienfuegos,CU,76.39,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
205,Saskylakh,RU,68.23,clear sky,71.9167,114.0833,
206,Lorengau,PG,83.21,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
207,Oruro,BO,41.32,scattered clouds,-17.9833,-67.15,Eden by BlueBay
208,Nikolskoye,RU,73.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
209,Eyl,SO,78.08,overcast clouds,7.9803,49.8164,Amiin Hotel
210,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
211,Grand Gaube,MU,73.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
212,Coquimbo,CL,54.34,scattered clouds,-29.9533,-71.3436,Hotel San Juan
213,Fenyi,CN,77.77,light rain,27.8112,114.6681,Jinhao Hotel
214,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
